name,description,price,category_name,brand_name,stock
Nike Air Max 270,Men's lifestyle shoe with large Air unit for all-day comfort.,5995.00,Sneakers,Nike,30
Adidas Ultraboost 22,Premium running shoe with responsive Boost midsole and Primeknit upper.,7495.00,Running,Adidas,25
New Balance 574 Classic,Retro-inspired everyday sneaker with ENCAP midsole cushioning.,4495.00,Sneakers,New Balance,40
Converse Chuck Taylor All Star Hi,Iconic canvas high-top sneaker that never goes out of style.,2995.00,Sneakers,Converse,50
Vans Old Skool,Classic side-stripe skate shoe built for durability and style.,3295.00,Sneakers,Vans,45
Puma RS-X Puzzle,Bold chunky sneaker with retro Running System design.,4295.00,Sneakers,Puma,20
Reebok Classic Leather,Timeless leather sneaker with die-cut EVA midsole.,3795.00,Sneakers,Reebok,35
Asics Gel-Nimbus 25,High-mileage running shoe with GEL technology cushioning system.,8995.00,Running,Asics,18
Hoka Clifton 9,Lightweight trainer with signature cushioned midsole for long runs.,7995.00,Running,Hoka,15
Nike Air Jordan 1 Low,Low-profile version of the legendary Air Jordan 1 basketball shoe.,6995.00,Sneakers,Nike,22
